DATETIME_10M,HOST,CNT
20181103091000,tsdn-svr1,166
20181102201000,gcs6,3
20181102214000,gcs6,3
20181103065000,hadoop02,1
20181103020000,dn03,9
20181103071000,gcs6,3
20181103043000,gcs4,3
20181103025000,ans41,46
20181103034000,tsdn-svr1,102
20181102122000,gcs5,3
20181103090000,KVMHost02,16
20181102213000,KVMHost01,1
20181102214000,gcs7,105
20181102182000,gcs1,4292
20181102184000,gcs2,3
20181102133000,hadoop01,1
20181103021000,hadoop02,1
20181102235000,DB-01,2
20181102105000,gcs7,105
20181102201000,hadoop02,1
20181102203000,hadoop02,1
20181102145000,tsdn-svr1,238
20181103083000,hadoop02,1
20181103071000,gcs4,3
20181103071000,dn02,1
20181103030000,tsdn-svr1,101
20181102191000,gcs1,4298
20181102192000,gcs2,3
20181102192000,hadoop02,1
20181102094000,hadoop03,1
20181102081000,ans41,46
20181102085000,hadoop02,1
20181102105000,hadoop04,1
20181103053000,hadoop04,1
20181103083000,hadoop03,1
20181103084000,KVMHost02,8
20181102163000,DB-01,1
20181103005000,ans41,46
20181102142000,gcs7,105
20181102212000,KVMHost02,8
20181103032000,dn03,18
20181103034000,KVMHost02,8
20181103043000,hadoop03,1
20181103022000,hadoop03,1
20181102094000,dn02,1
20181102095000,platform2,1441
20181102221000,ans41,46
20181102172000,gcs6,3
20181102114000,gcs6,3
20181103075000,tsdn-db,157
20181102191000,hadoop03,1
20181103084000,DB-01,1
20181102162000,ans41,46
20181102230000,tsdn-svr1,395
20181102234000,gcs1,4292
20181103053000,platform2,1388
20181102152000,gcs7,105
20181102182000,hadoop01,1
20181102170000,platform2,1430
20181102080000,DB-01,5
20181102090000,platform2,1412
20181103074000,tsdn-svr1,142
20181102191000,gcs4,3
20181102160000,hadoop01,6
20181102164000,gcs4,3
20181102122000,gcs2,3
20181103011000,DB-01,1
20181103012000,ans41,47
20181102232000,KVMHost02,8
20181102234000,hadoop03,1
20181102101000,KVMHost01,1
20181103033000,tsdn-db,163
20181102220000,hadoop01,6
20181102132000,platform2,1441
20181103002000,gcs4,3
20181103005000,hadoop03,1
20181102093000,ans41,46
20181103091000,platform2,1388
20181103040000,tsdn-db,169
20181103044000,DB-01,1
20181102145000,ans41,46
20181103064000,hadoop03,1
20181103010000,ans41,60
20181103014000,DB-01,1
20181103084000,KVMHost01,1
20181103055000,KVMHost02,4
20181102195000,tsdn-svr1,10793
20181102123000,DB-01,1
20181103025000,DB-01,1
20181102091000,KVMHost01,1
20181102092000,gcs5,3
20181102093000,gcs7,105
20181102093000,gcs1,4325
20181102221000,hadoop01,1
20181102222000,dn02,1
20181102224000,tsdn-db,162
20181102210000,platform2,1413
20181102173000,gcs2,3
20181102080000,gcs1,4070
20181102085000,dn03,1
20181103083000,DB-01,1
20181102140000,platform2,1412
20181102142000,dn03,1
20181103061000,dn02,1
20181103065000,gcs3,3
20181103072000,dn03,1
20181102150000,dn02,6
20181103053000,hadoop02,1
20181103055000,hadoop01,1
20181103042000,gcs1,4325
20181102131000,gcs5,3
20181102131000,KVMHost02,7
20181102135000,gcs7,105
